Source IP,total_packets,total_bytes,packet_size_std,unique_target_ips,unique_target_ports,total_syn_flags,total_ack_flags,total_fin_flags,total_rst_flags,avg_ttl,avg_window_size,iat_mean,iat_std,flow_duration_sec,packets_per_second,bytes_per_second,avg_packet_size,syn_ack_ratio
host_048,69,4168,0.8102076817943246,1,16,0.0,0.0,0.0,0.0,46.6231884057971,0.0,29.273903941406925,120.82912215129329,1990.6254680156708,0.03466247222727526,2.0938142643954096,60.405797101449274,0.0
host_049,23,1384,0.5762081310400602,1,5,0.0,0.0,0.0,0.0,41.869565217391305,0.0,90.23789935762233,207.84859873965289,1985.233785867691,0.011585537262024449,0.6971471117670364,60.17391304347826,0.0
host_050,1,90,0.0,1,1,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_051,1,90,0.0,1,1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_052,4405,312200,9.80739903288046,2,1,0.0,0.0,0.0,0.0,64.0,20546.317139614075,0.06679289693945002,0.32162963887840806,294.1559181213379,14.975051422160947,1061.3418964809644,70.87400681044268,0.0
host_053,1744,105150,5.774439696673947,3,1715,0.0,0.0,0.0,0.0,48.30561926605505,2671.7247706422017,0.06884414973234351,2.6058394312135023,119.99535298347473,14.533896160463618,876.2839342160261,60.29243119266055,0.0
host_054,477,57632,68.9093585204548,1,1,0.0,0.0,0.0,0.0,64.0,501.0,0.5406519199619774,2.3008729492374007,257.35031390190125,1.853504636414885,223.94377192004748,120.82180293501048,0.0
host_055,5672,3302676,579.3296895041937,1,1,0.0,0.0,0.0,0.0,64.0,501.0,0.05187021267096678,0.4696410062748802,294.1559760570526,19.282287159448682,11227.635230363072,582.2771509167842,0.0
host_056,1337,248415,102.92539039486016,27,567,0.0,0.0,0.0,0.0,124.96035901271503,22520.750934928947,1.5264973720747554,26.788618512627046,2039.4004890918732,0.6555848187500211,121.80785545982535,185.80029917726253,0.0
host_057,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737008081098493,67.41720964036799,2035.034688949585,0.1031923441601847,21.69250491881597,210.21428571428572,0.0
host_058,153,35010,779.6164130827336,8,4,0.0,0.0,0.0,0.0,64.0,11031.947712418301,13.23510027088617,79.96101020123051,2011.7352411746979,0.07605374547729245,17.402886465098096,228.8235294117647,0.0
host_059,103,26563,291.08417732108575,10,6,0.0,0.0,0.0,0.0,56.03883495145631,11888.990291262136,19.41628707857693,101.73151633061447,1980.4612820148468,0.0520080856593226,13.412531838529963,257.8932038834951,0.0
host_060,157,32799,405.265762372339,1,36,0.0,0.0,0.0,0.0,64.0,64551.33757961784,1.566528217914777,4.746853643966286,244.3784019947052,0.6424462993395039,134.21398835691969,208.9108280254777,0.0
host_061,434,49218,187.8332304561025,18,4,0.0,0.0,0.0,0.0,64.0,27701.382488479263,4.689622843238002,47.22823639142578,2030.606691122055,0.2137292277709299,24.23807634200375,113.40552995391705,0.0
host_062,1090,259540,451.8811317131295,14,12,0.0,0.0,0.0,0.0,90.82844036697247,4184.708256880734,1.873071730957872,29.635002805098285,2039.7751150131226,0.5343726335209201,127.23951679267853,238.11009174311926,0.0
host_063,218,42714,62.76901921977949,4,4,0.0,0.0,0.0,0.0,255.0,355.04587155963304,9.381215852526475,66.2034031676006,2035.7238399982452,0.1070872167023342,20.98221731295185,195.93577981651376,0.0
"host_063,host_056",1,70,0.0,1,1,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.1,10.0,700.0,70.0,0.0
host_064,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.73726317300751,67.41934847324367,2035.0880031585693,0.10318964077920383,21.691936629514064,210.21428571428572,0.0
host_065,168,33275,391.4305276324857,2,40,0.0,0.0,0.0,0.0,64.0,64216.71428571428,1.7253512393928574,5.04467497666702,288.1336569786072,0.5830627416514321,115.4845995741155,198.0654761904762,0.0
host_066,1146,138212,108.04652945250274,6,4,0.0,0.0,0.0,0.0,62.57417102966841,41719.910994764396,1.7801907116669233,29.020796087467538,2038.3183648586273,0.5622281679630963,67.80687569853006,120.60383944153578,0.0
"host_066,host_067",53,19511,3.868202404263293,1,8,0.0,0.0,0.0,0.0,64.0,0.0,36.94039190274019,153.17863866072747,1920.9003789424896,0.027591227833052963,10.15721596699427,368.1320754716981,0.0
host_068,123,8949,12.547184037428174,3,3,0.0,0.0,0.0,0.0,255.0,4865.268292682927,16.659595198318605,89.3188398785448,2032.47061419487,0.060517480125401195,4.403015688148091,72.7560975609756,0.0
host_069,388,49412,57.73915169082852,2,2,0.0,0.0,0.0,0.0,59.45360824742268,464.8453608247423,5.262670816377152,49.69497860732215,2036.6536059379578,0.19050858666823267,24.261366712501836,127.35051546391753,0.0
"host_069,host_067",44,16202,3.845042936002673,1,7,0.0,0.0,0.0,0.0,64.0,0.0,44.67115269705307,171.3932486986503,1920.8595659732819,0.02290641168122335,8.434765501345018,368.22727272727275,0.0
host_070,732,59409,16.336672433018865,19,9,0.0,0.0,0.0,0.0,64.0,5689.7786885245905,2.7622476716700395,36.775609935143905,2019.203047990799,0.3625192626013387,29.42200392333734,81.15983606557377,0.0
"host_070,host_071",2,172,0.0,1,2,0.0,0.0,0.0,0.0,64.0,0.0,89.95641088485718,0.0,89.95641088485718,0.022232990181877858,1.9120371556414957,86.0,0.0
host_072,230,44129,55.987476053519,5,4,0.0,0.0,0.0,0.0,255.0,475.9869565217391,8.89144528380648,64.49801096298694,2036.140969991684,0.1129587800597811,21.67286089242644,191.86521739130436,0.0
host_073,35,3430,0.0,3,1,0.0,0.0,0.0,0.0,64.0,0.0,58.84348367943483,170.07828551316555,2000.6784451007843,0.017494065618444184,1.71441843060753,98.0,0.0
host_067,786,236504,97.54931756327495,11,30,0.0,0.0,0.0,0.0,93.01526717557252,906.2430025445293,2.579560465114132,35.76973726286671,2024.9549651145935,0.3881567805412995,116.79469621519019,300.8956743002544,0.0
host_074,136,17267,280.60317065044893,3,2,0.0,0.0,0.0,0.0,64.0,1987.3382352941176,15.038134013281928,86.31647731191626,2030.1480917930603,0.0669901868488237,8.505290855284109,126.96323529411765,0.0
host_075,1251,145552,201.12910887241387,35,6,0.0,0.0,0.0,0.0,64.0,14410.067146282974,1.6299048007965087,27.720624055820977,2037.381000995636,0.6140235917526746,71.4407368719307,116.34852118305356,0.0
host_076,296,27904,33.70190249512797,7,5,0.0,0.0,0.0,0.0,74.9695945945946,0.0,6.83851526793787,57.98598101502536,2017.3620040416718,0.14672626896262575,13.831925030855096,94.27027027027027,0.0
host_077,15,2544,30.932645723063704,1,1,0.0,0.0,0.0,0.0,255.0,0.0,140.17667835099357,269.0495662031847,1962.47349691391,0.007643415324379294,1.2963232390147283,169.6,0.0
host_078,108,16200,0.0,3,1,0.0,0.0,0.0,0.0,64.0,0.0,18.953239579067052,97.88832630226452,2027.9966349601746,0.05325452623451758,7.988178935177638,150.0,0.0
host_079,533,371358,1572.2280755325405,4,8,0.0,0.0,0.0,0.0,64.0,21445.373358348967,3.8220301274966477,43.34565535614703,2033.3200278282166,0.26213286285744986,182.63627708258323,696.7317073170732,0.0
host_080,30,4935,100.18388265997474,1,1,0.0,0.0,0.0,0.0,64.0,5281.0,68.28302020040051,191.95241876363622,1980.207585811615,0.01514992681320534,2.4921629607722786,164.5,0.0
host_081,638,47490,12.938622479006682,5,3,0.0,0.0,0.0,0.0,64.0,0.0,3.2013225839875368,39.05212650038665,2039.242486000061,0.31286127293837723,23.28805932890836,74.43573667711598,0.0
host_082,86,5676,0.0,1,1,0.0,0.0,0.0,0.0,64.0,1090.0,23.907683459450215,106.28824488811014,2032.1530940532684,0.042319646217434885,2.7930966503507024,66.0,0.0
host_083,210,40403,52.72153964714996,4,4,0.0,0.0,0.0,0.0,255.0,444.6857142857143,9.755993052532798,67.76635522861241,2039.0025479793549,0.10299153387920448,19.815080682483327,192.39523809523808,0.0
host_084,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737022808293977,67.4205937431794,2035.0377669334412,0.1031921880823101,21.692472109017043,210.21428571428572,0.0
host_085,186,36129,46.923981818971484,2,2,0.0,0.0,0.0,0.0,255.0,354.11290322580646,11.000644172204508,71.92583894190923,2035.1191718578339,0.0913951391997369,17.7527687319747,194.24193548387098,0.0
host_086,457,77041,70.41280745355564,3,3,0.0,0.0,0.0,0.0,44.010940919037196,1036.6739606126914,4.462070642333281,45.74919888582777,2034.7042129039764,0.22460267055119482,37.863488713204816,168.57986870897156,0.0
host_087,210,44145,50.025130390034825,2,2,0.0,0.0,0.0,0.0,255.0,502.5,9.737048889461317,67.41676176601423,2035.0432178974152,0.1031919116769273,21.692414004656932,210.21428571428572,0.0
host_088,220,43026,62.87981710311119,3,3,0.0,0.0,0.0,0.0,255.0,728.7,9.292803611929559,65.89415633453353,2035.1239910125732,0.10810152156406908,21.141709394616527,195.57272727272726,0.0
host_089,1557,519180,1137.2063397290842,29,29,0.0,0.0,0.0,0.0,62.48554913294798,21678.582530507385,1.3083088381124952,24.87229868883845,2035.7285521030426,0.7648367452485332,255.03400218248774,333.4489402697495,0.0
host_090,396,61592,232.73805836230224,6,2,0.0,0.0,0.0,0.0,64.0,21786.323232323233,5.148741597767118,49.65619478231311,2033.7529311180115,0.19471391728114565,30.284897962576572,155.53535353535352,0.0
host_091,178,35682,401.0378078230253,2,41,0.0,0.0,0.0,0.0,64.0,64230.47191011236,8.31125857601058,90.06202515929637,1471.0927679538727,0.12099848757164262,24.25543839062557,200.46067415730337,0.0
host_092,27,2469,31.50132272355136,2,2,0.0,0.0,0.0,0.0,255.0,1914.851851851852,75.12670253790341,205.7931062368213,1953.294265985489,0.013822802058131155,1.2640184548713267,91.44444444444444,0.0
host_093,180,24171,57.769071677309306,3,8,0.0,0.0,0.0,0.0,64.0,3406.6666666666665,11.359036598791624,73.26517244464682,2033.2675511837006,0.08852745419323198,11.887761640581166,134.28333333333333,0.0
"host_093,host_056",11,1210,0.0,1,9,0.0,0.0,0.0,0.0,64.0,0.0,0.5062770843505859,0.8632663682885253,5.062770843505859,2.172723265582911,238.9995592141202,110.0,0.0
host_094,196,38115,46.89698202525321,2,2,0.0,0.0,0.0,0.0,255.0,345.3112244897959,10.433558969008617,69.62957176513191,2034.5439989566803,0.0963360832208639,18.733927612057286,194.46428571428572,0.0
host_095,184,35547,48.13405360960546,2,2,0.0,0.0,0.0,0.0,255.0,424.83152173913044,11.124907005028646,72.15507625133468,2035.8579819202423,0.09037958523337139,17.460451718970937,193.19021739130434,0.0
